sample_id,model,method,ground_truth,raw_model_output,local_prediction,official_prediction,diagnostic_prediction,parse_status,original_parser_status,correct_status,parser_difference,original_parser_error,failure_stage,runtime_error
tsh:1,qwen2.5-vl-7b,base,BA,The action that happens first is Action A: cleaning the sinks.,A,A,,valid,valid,False,False,,,
tsh:2,qwen2.5-vl-7b,base,AB,"The actions in the video occur in the following order:

1. Action A: powdering hands
2. Action B: holding the barbell

The weightlifter first powders his hands with chalk to improve his grip on the barbell, then he holds the barbell.",AB,AB,AB,valid,valid,True,False,,,
tsh:3,qwen2.5-vl-7b,base,AB,"The actions in the video occur in the following order:

1. Action A: fencing
2. Action B: playing table tennis

So, Action A happens before Action B.",ABAB,ABAB,AB,valid,valid,False,False,,,
tsh:4,qwen2.5-vl-7b,base,BA,"The sequence of actions in the video is as follows:

1. Action B: washing dishes
2. Action A: placing clean dishes on the dish rack

The person is first seen washing dishes, and then placing them on the dish rack.",BA,BA,BA,valid,valid,True,False,,,
tsh:5,qwen2.5-vl-7b,base,AB,"The actions in the video occur in the following order:

1. Action A: skateboarding on the road
2. Action B: windsurfing

So, Action A happens before Action B.",ABAB,ABAB,AB,valid,valid,False,False,,,
tsh:6,qwen2.5-vl-7b,base,BA,"The actions in the video occur in the following order:

1. Action B: cutting the pita bread into small slices
2. Action A: frying the bread

So, Action B happens before Action A.",BABA,BABA,BA,valid,valid,False,False,,,
tsh:7,qwen2.5-vl-7b,base,BA,"The actions in the video occur in the following order:

1. Action B. sailing on a yacht
2. Action A. drawing on a map

So, Action B happens before Action A.",BABA,BABA,BA,valid,valid,False,False,,,
tsh:8,qwen2.5-vl-7b,base,AB,"The actions in the video occur in the following order:

1. Action A: cutting a paper
2. Action B: presenting a gold bowl

So, Action A happens before Action B.",ABAB,ABAB,AB,valid,valid,False,False,,,
tsh:9,qwen2.5-vl-7b,base,BA,"The actions in the video occur in the following order:

1. Action B: holding a gift
2. Action A: blowing sequins",BA,BA,BA,valid,valid,True,False,,,
tsh:10,qwen2.5-vl-7b,base,AB,"The actions in the video occur in the following order:

1. Action A: playing croquet
2. Action B: playing with a cat

So, Action A happens before Action B.",ABAB,ABAB,AB,valid,valid,False,False,,,
tsh:11,qwen2.5-vl-7b,base,AB,"The actions in the video occur in the following order:

1. Action A: playing croquet
2. Action B: playing with a cat

The person is first seen playing croquet on a wooden platform, then the scene transitions to the person playing with a cat on the grass.",AB,AB,AB,valid,valid,True,False,,,
