sample_id,pair_id,task,branch,video_path,video_exists,question,prompt,ground_truth,source
orh:0:basic,orh:0,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1052_6143391925_916_970.mp4,False,Is there a baby in the video?,"Is there a baby in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:0:hallucination,orh:0,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1052_6143391925_916_970.mp4,False,Is there a doll in the video?,"Is there a doll in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:1:basic,orh:1,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1015_8464056582_819_887.mp4,False,Is there a baby seat in the video?,"Is there a baby seat in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:1:hallucination,orh:1,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1015_8464056582_819_887.mp4,False,Is there a table in the video?,"Is there a table in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:2:basic,orh:2,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1011_2984974097_0_55.mp4,False,Is there a child in the video?,"Is there a child in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:2:hallucination,orh:2,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1011_2984974097_0_55.mp4,False,Is there a doll in the video?,"Is there a doll in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:3:basic,orh:3,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1007_4976725963_0_19.mp4,False,Is there a faucet in the video?,"Is there a faucet in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:3:hallucination,orh:3,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1007_4976725963_0_19.mp4,False,Is there a microphone in the video?,"Is there a microphone in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:4:basic,orh:4,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/0071_4235959165_311_334.mp4,False,Is there a bird in the video?,"Is there a bird in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:4:hallucination,orh:4,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/0071_4235959165_311_334.mp4,False,Is there an airplane in the video?,"Is there an airplane in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:5:basic,orh:5,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1010_4915733559_42_1068.mp4,False,Is there a table in the video?,"Is there a table in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:5:hallucination,orh:5,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1010_4915733559_42_1068.mp4,False,Is there a refrigerator in the video?,"Is there a refrigerator in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:6:basic,orh:6,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1002_4151403382_1260_1847.mp4,False,Is there a toy in the video?,"Is there a toy in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:6:hallucination,orh:6,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1002_4151403382_1260_1847.mp4,False,Is there a robot in the video?,"Is there a robot in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:7:basic,orh:7,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1110_4372494989_871_917.mp4,False,Is there a chair in the video?,"Is there a chair in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:7:hallucination,orh:7,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1110_4372494989_871_917.mp4,False,Is there a ladder in the video?,"Is there a ladder in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:8:basic,orh:8,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1002_5686660408_39_87.mp4,False,Is there a child in the video?,"Is there a child in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:8:hallucination,orh:8,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1002_5686660408_39_87.mp4,False,Is there a doll in the video?,"Is there a doll in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:9:basic,orh:9,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1007_4976725963_0_490.mp4,False,Is there a sink in the video?,"Is there a sink in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:9:hallucination,orh:9,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1007_4976725963_0_490.mp4,False,Is there a bathtub in the video?,"Is there a bathtub in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:10:basic,orh:10,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1007_8330342965_497_509.mp4,False,Is there a toy in the video?,"Is there a toy in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:10:hallucination,orh:10,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1007_8330342965_497_509.mp4,False,Is there a robot in the video?,"Is there a robot in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:11:basic,orh:11,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1110_6786501294_1536_1564.mp4,False,Is there an adult in the video?,"Is there an adult in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:11:hallucination,orh:11,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1110_6786501294_1536_1564.mp4,False,Is there a machine dog in the video?,"Is there a machine dog in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:12:basic,orh:12,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1164_6617533993_596_1004.mp4,False,Is there a child in the video?,"Is there a child in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:12:hallucination,orh:12,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1164_6617533993_596_1004.mp4,False,Is there a dog in the video?,"Is there a dog in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:13:basic,orh:13,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1110_6786501294_69_1805.mp4,False,Is there a cake in the video?,"Is there a cake in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:13:hallucination,orh:13,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1110_6786501294_69_1805.mp4,False,Is there a soap bar in the video?,"Is there a soap bar in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:14:basic,orh:14,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1162_10309542255_0_2566.mp4,False,Is there a cattle/cow in the video?,"Is there a cattle/cow in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:14:hallucination,orh:14,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1162_10309542255_0_2566.mp4,False,Is there a rhino/rhinoceros in the video?,"Is there a rhino/rhinoceros in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:15:basic,orh:15,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1200_3402648543_19_71.mp4,False,Is there a bench in the video?,"Is there a bench in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:15:hallucination,orh:15,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1200_3402648543_19_71.mp4,False,Is there a table in the video?,"Is there a table in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:16:basic,orh:16,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1002_5863411262_797_929.mp4,False,Is there an adult in the video?,"Is there an adult in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:16:hallucination,orh:16,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1002_5863411262_797_929.mp4,False,Is there a child in the video?,"Is there a child in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:17:basic,orh:17,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/0039_4465235803_660_1014.mp4,False,Is there a toy in the video?,"Is there a toy in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:17:hallucination,orh:17,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/0039_4465235803_660_1014.mp4,False,Is there a model airplane in the video?,"Is there a model airplane in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:18:basic,orh:18,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/0093_3861485381_780_870.mp4,False,Is there a leopard in the video?,"Is there a leopard in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:18:hallucination,orh:18,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/0093_3861485381_780_870.mp4,False,Is there a jaguar in the video?,"Is there a jaguar in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:19:basic,orh:19,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1102_7536230796_1056_1153.mp4,False,Is there a bottle in the video?,"Is there a bottle in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:19:hallucination,orh:19,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1102_7536230796_1056_1153.mp4,False,Is there a vase in the video?,"Is there a vase in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:20:basic,orh:20,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/0033_2834146886_152_255.mp4,False,Is there a laptop in the video?,"Is there a laptop in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:20:hallucination,orh:20,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/0033_2834146886_152_255.mp4,False,Is there a book in the video?,"Is there a book in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:21:basic,orh:21,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1101_8396167542_0_540.mp4,False,Is there a chicken in the video?,"Is there a chicken in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:21:hallucination,orh:21,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1101_8396167542_0_540.mp4,False,Is there a turkey in the video?,"Is there a turkey in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:22:basic,orh:22,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1019_4612723694_1486_1681.mp4,False,Is there an adult in the video?,"Is there an adult in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:22:hallucination,orh:22,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1019_4612723694_1486_1681.mp4,False,Is there a child in the video?,"Is there a child in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:23:basic,orh:23,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/0024_6542914065_0_146.mp4,False,Is there a ball/sports ball in the video?,"Is there a ball/sports ball in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:23:hallucination,orh:23,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/0024_6542914065_0_146.mp4,False,Is there a planet in the video?,"Is there a planet in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:24:basic,orh:24,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1007_3972259774_384_1063.mp4,False,Is there a handbag in the video?,"Is there a handbag in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:24:hallucination,orh:24,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1007_3972259774_384_1063.mp4,False,Is there a bucket in the video?,"Is there a bucket in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:25:basic,orh:25,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1007_4976725963_0_19.mp4,False,Is there a sink in the video?,"Is there a sink in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:25:hallucination,orh:25,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1007_4976725963_0_19.mp4,False,Is there a bathtub in the video?,"Is there a bathtub in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:26:basic,orh:26,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1101_3321261856_0_798.mp4,False,Is there a child in the video?,"Is there a child in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:26:hallucination,orh:26,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1101_3321261856_0_798.mp4,False,Is there a doll in the video?,"Is there a doll in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:27:basic,orh:27,orh,basic,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1202_3218498932_775_892.mp4,False,Is there a laptop in the video?,"Is there a laptop in the video?
Answer the question using 'yes' or 'no'.",yes,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
orh:27:hallucination,orh:27,orh,hallucination,external/VideoHallucer/videohallucer_datasets/object_relation/videos/1202_3218498932_775_892.mp4,False,Is there a book in the video?,"Is there a book in the video?
Answer the question using 'yes' or 'no'.",no,external/VideoHallucer/videohallucer_datasets/object_relation/object_relation.json
