sample_id,model,method,ground_truth,raw_model_output,local_prediction,official_prediction,diagnostic_prediction,parse_status,original_parser_status,correct_status,parser_difference,original_parser_error,failure_stage,runtime_error
tsh:1,llava-ov-7b,tcd,BA,Action A. cleaning the sinks happens before Action B. placing a bottle with blue liquid.,AB,AB,AB,valid,valid,False,False,,,
tsh:2,llava-ov-7b,tcd,AB,"The actions occur in the following order: A. powdering hands, B. holding the barbell.",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:3,llava-ov-7b,tcd,AB,"A. fencing
B. playing table tennis",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:4,llava-ov-7b,tcd,BA,B. washing dishes,,,,unparseable,unparseable,,False,official parser returned None,,
tsh:5,llava-ov-7b,tcd,AB,A,A,A,,valid,valid,False,False,,,
tsh:6,llava-ov-7b,tcd,BA,"B. cutting the pita bread into small slices
A. frying the bread",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:7,llava-ov-7b,tcd,BA,"B. sailing on a yacht
A. drawing on a map",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:8,llava-ov-7b,tcd,AB,Action A. cutting a paper happens before Action B. presenting a gold bowl.,AB,AB,AB,valid,valid,True,False,,,
tsh:9,llava-ov-7b,tcd,BA,"The actions occur in the following order: first, the person is holding a gift (Action B), and then they start blowing sequins (Action A).",BA,BA,BA,valid,valid,True,False,,,
tsh:10,llava-ov-7b,tcd,AB,"A. playing croquet
B. playing with a cat",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:11,llava-ov-7b,tcd,AB,"A. playing croquet
B. playing with a cat",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:12,llava-ov-7b,tcd,AB,"A. applying paint to a sponge
B. applying glitter nail polish",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:13,llava-ov-7b,tcd,AB,A,A,A,,valid,valid,False,False,,,
tsh:14,llava-ov-7b,tcd,BA,"B. flying a helicopter over a river
A. rafting into a tunnel",,,,unparseable,unparseable,,False,official parser returned None,,
