sample_id,model,method,ground_truth,raw_model_output,local_prediction,official_prediction,diagnostic_prediction,parse_status,original_parser_status,correct_status,parser_difference,original_parser_error,failure_stage,runtime_error
tsh:1,llava-ov-7b,dino_heal,BA,A,A,A,,valid,valid,False,False,,,
tsh:2,llava-ov-7b,dino_heal,AB,B,B,B,,valid,valid,False,False,,,
tsh:3,llava-ov-7b,dino_heal,AB,A,A,A,,valid,valid,False,False,,,
tsh:4,llava-ov-7b,dino_heal,BA,B,B,B,,valid,valid,False,False,,,
tsh:5,llava-ov-7b,dino_heal,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:6,llava-ov-7b,dino_heal,BA,B,B,B,,valid,valid,False,False,,,
tsh:7,llava-ov-7b,dino_heal,BA,A,A,A,,valid,valid,False,False,,,
tsh:8,llava-ov-7b,dino_heal,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:9,llava-ov-7b,dino_heal,BA,B,B,B,,valid,valid,False,False,,,
tsh:10,llava-ov-7b,dino_heal,AB,A,A,A,,valid,valid,False,False,,,
tsh:11,llava-ov-7b,dino_heal,AB,A,A,A,,valid,valid,False,False,,,
tsh:12,llava-ov-7b,dino_heal,AB,A,A,A,,valid,valid,False,False,,,
tsh:13,llava-ov-7b,dino_heal,AB,A,A,A,,valid,valid,False,False,,,
tsh:14,llava-ov-7b,dino_heal,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:15,llava-ov-7b,dino_heal,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:16,llava-ov-7b,dino_heal,AB,A,A,A,,valid,valid,False,False,,,
tsh:17,llava-ov-7b,dino_heal,BA,B,B,B,,valid,valid,False,False,,,
tsh:18,llava-ov-7b,dino_heal,AB,A,A,A,,valid,valid,False,False,,,
tsh:19,llava-ov-7b,dino_heal,AB,A,A,A,,valid,valid,False,False,,,
tsh:20,llava-ov-7b,dino_heal,BA,A,A,A,,valid,valid,False,False,,,
tsh:21,llava-ov-7b,dino_heal,AB,A,A,A,,valid,valid,False,False,,,
tsh:22,llava-ov-7b,dino_heal,BA,B,B,B,,valid,valid,False,False,,,
tsh:23,llava-ov-7b,dino_heal,BA,B,B,B,,valid,valid,False,False,,,
tsh:24,llava-ov-7b,dino_heal,AB,B,B,B,,valid,valid,False,False,,,
tsh:25,llava-ov-7b,dino_heal,BA,B,B,B,,valid,valid,False,False,,,
tsh:26,llava-ov-7b,dino_heal,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:27,llava-ov-7b,dino_heal,BA,B,B,B,,valid,valid,False,False,,,
tsh:28,llava-ov-7b,dino_heal,AB,B,B,B,,valid,valid,False,False,,,
tsh:29,llava-ov-7b,dino_heal,AB,A,A,A,,valid,valid,False,False,,,
tsh:30,llava-ov-7b,dino_heal,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:31,llava-ov-7b,dino_heal,AB,B,B,B,,valid,valid,False,False,,,
tsh:32,llava-ov-7b,dino_heal,BA,B,B,B,,valid,valid,False,False,,,
tsh:33,llava-ov-7b,dino_heal,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:34,llava-ov-7b,dino_heal,BA,A,A,A,,valid,valid,False,False,,,
tsh:35,llava-ov-7b,dino_heal,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:36,llava-ov-7b,dino_heal,BA,B,B,B,,valid,valid,False,False,,,
