task,sample_id,annotation_video_id,resolved_video_path,mapping_status,ground_truth,skip_reason,evaluated
tsh,tsh:1,j5SX_9JKtfs_clip_1_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/j5SX_9JKtfs_clip_1_3.mp4,resolved,BA,,True
tsh,tsh:2,n1dboqahvZU_clip_2_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/n1dboqahvZU_clip_2_4.mp4,resolved,AB,,True
tsh,tsh:3,656VWQU5dgE_clip_4_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/656VWQU5dgE_clip_4_5.mp4,resolved,AB,,True
tsh,tsh:4,6UPfqdssD6g_clip_4_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/6UPfqdssD6g_clip_4_5.mp4,resolved,BA,,True
tsh,tsh:5,hiYPv3MrrUw_clip_1_2,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/hiYPv3MrrUw_clip_1_2.mp4,resolved,AB,,True
tsh,tsh:6,wklpuFysPq8_clip_5_6,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/wklpuFysPq8_clip_5_6.mp4,resolved,BA,,True
tsh,tsh:7,HtuDZLsOK6M_clip_2_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/HtuDZLsOK6M_clip_2_3.mp4,resolved,BA,,True
tsh,tsh:8,n5xfkpQ8PWM_clip_2_7,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/n5xfkpQ8PWM_clip_2_7.mp4,resolved,AB,,True
tsh,tsh:9,n5xfkpQ8PWM_clip_5_9,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/n5xfkpQ8PWM_clip_5_9.mp4,resolved,BA,,True
tsh,tsh:10,UYUvjnlU9Ho_clip_11_7,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/UYUvjnlU9Ho_clip_11_7.mp4,resolved,AB,,True
tsh,tsh:11,UYUvjnlU9Ho_clip_3_7,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/UYUvjnlU9Ho_clip_3_7.mp4,resolved,AB,,True
tsh,tsh:12,cjFHlsWZY4c_clip_2_4,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/cjFHlsWZY4c_clip_2_4.mp4,resolved,AB,,True
tsh,tsh:13,cjFHlsWZY4c_clip_1_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/cjFHlsWZY4c_clip_1_3.mp4,resolved,AB,,True
tsh,tsh:14,4E89GQ2UnoQ_clip_4_8,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/4E89GQ2UnoQ_clip_4_8.mp4,resolved,BA,,True
tsh,tsh:15,-2dxp-mv2zo_clip_3_6,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/-2dxp-mv2zo_clip_3_6.mp4,resolved,BA,,True
tsh,tsh:16,D5iU1Qfy-wk_clip_2_7,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/D5iU1Qfy-wk_clip_2_7.mp4,resolved,AB,,True
tsh,tsh:17,cUdIbmXb2yI_clip_2_3,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/cUdIbmXb2yI_clip_2_3.mp4,resolved,BA,,True
tsh,tsh:18,e2t_1Atddaw_clip_5_6,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/e2t_1Atddaw_clip_5_6.mp4,resolved,AB,,True
tsh,tsh:19,D0EAxdmzjzE_clip_4_5,/scratch/jp09/dd9648/datasets_video_hallu/vidhalluc/data/TSH_videos/VidHalluc/data/TSH/D0EAxdmzjzE_clip_4_5.mp4,resolved,AB,,True
