sample_id,model,method,ground_truth,raw_model_output,local_prediction,official_prediction,diagnostic_prediction,parse_status,original_parser_status,correct_status,parser_difference,original_parser_error,failure_stage,runtime_error
tsh:1,llava-video-7b,tcd,BA,AB,AB,AB,AB,valid,valid,False,False,,,
tsh:2,llava-video-7b,tcd,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:3,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:4,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:5,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:6,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:7,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:8,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:9,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:10,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:11,llava-video-7b,tcd,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:12,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:13,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:14,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:15,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:16,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:17,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:18,llava-video-7b,tcd,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:19,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:20,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:21,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:22,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:23,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:24,llava-video-7b,tcd,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:25,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:26,llava-video-7b,tcd,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:27,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:28,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:29,llava-video-7b,tcd,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:30,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:31,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:32,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:33,llava-video-7b,tcd,BA,AB,AB,AB,AB,valid,valid,False,False,,,
tsh:34,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:35,llava-video-7b,tcd,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:36,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:37,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:38,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:39,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:40,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:41,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:42,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:43,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:44,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:45,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:46,llava-video-7b,tcd,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:47,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:48,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:49,llava-video-7b,tcd,BA,AB,AB,AB,AB,valid,valid,False,False,,,
tsh:50,llava-video-7b,tcd,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:51,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:52,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:53,llava-video-7b,tcd,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:54,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:55,llava-video-7b,tcd,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:56,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:57,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:58,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:59,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:60,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:61,llava-video-7b,tcd,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:62,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:63,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:64,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:65,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:66,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:67,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:68,llava-video-7b,tcd,BA,B,B,B,,valid,valid,False,False,,,
tsh:69,llava-video-7b,tcd,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:70,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:71,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:72,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:73,llava-video-7b,tcd,BA,B,B,B,,valid,valid,False,False,,,
tsh:74,llava-video-7b,tcd,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:75,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:76,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:77,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:78,llava-video-7b,tcd,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:79,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:80,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
tsh:81,llava-video-7b,tcd,BA,AB,AB,AB,AB,valid,valid,False,False,,,
tsh:82,llava-video-7b,tcd,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:83,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:84,llava-video-7b,tcd,AB,BA,BA,BA,BA,valid,valid,False,False,,,
tsh:85,llava-video-7b,tcd,BA,BA,BA,BA,BA,valid,valid,True,False,,,
tsh:86,llava-video-7b,tcd,AB,AB,AB,AB,AB,valid,valid,True,False,,,
