sample_id,model,method,ground_truth,raw_model_output,local_prediction,official_prediction,diagnostic_prediction,parse_status,original_parser_status,correct_status,parser_difference,original_parser_error,failure_stage,runtime_error
tsh:1,llava-ov-7b,base,BA,Action A,A,A,,valid,valid,False,False,,,
tsh:2,llava-ov-7b,base,AB,"The actions in the order they occur in the video are: B. holding the barbell, A. powdering hands.",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:3,llava-ov-7b,base,AB,A,A,A,,valid,valid,False,False,,,
tsh:4,llava-ov-7b,base,BA,B,B,B,,valid,valid,False,False,,,
tsh:5,llava-ov-7b,base,AB,A,A,A,,valid,valid,False,False,,,
tsh:6,llava-ov-7b,base,BA,B,B,B,,valid,valid,False,False,,,
tsh:7,llava-ov-7b,base,BA,B,B,B,,valid,valid,False,False,,,
tsh:8,llava-ov-7b,base,AB,"The actions in the video occur in the following order: A. cutting a paper, B. presenting a gold bowl.",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:9,llava-ov-7b,base,BA,"The actions in the video are as follows:

1. Holding a gift: The person is seen holding a gift wrapped in shiny, metallic paper.
2. Blowing sequins: The person is seen blowing sequins towards the camera, creating a sparkling effect.

The action of holding a gift happens before the action of blowing sequins.",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:10,llava-ov-7b,base,AB,A,A,A,,valid,valid,False,False,,,
tsh:11,llava-ov-7b,base,AB,A,A,A,,valid,valid,False,False,,,
tsh:12,llava-ov-7b,base,AB,"A. applying paint to a sponge
B. applying glitter nail polish",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:13,llava-ov-7b,base,AB,A,A,A,,valid,valid,False,False,,,
tsh:14,llava-ov-7b,base,BA,"The actions in the video are as follows:

1. Flying a helicopter over a river.
2. Rafting into a tunnel.

Action B happens before Action A.",BA,BA,BA,valid,valid,True,False,,,
tsh:15,llava-ov-7b,base,BA,B,B,B,,valid,valid,False,False,,,
tsh:16,llava-ov-7b,base,AB,"The actions in the video occur in the following order: A. eating together, B. practicing martial arts.",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:17,llava-ov-7b,base,BA,B. dancing,,,,unparseable,unparseable,,False,official parser returned None,,
tsh:18,llava-ov-7b,base,AB,Action A happens before Action B.,AB,AB,AB,valid,valid,True,False,,,
tsh:19,llava-ov-7b,base,AB,A,A,A,,valid,valid,False,False,,,
tsh:20,llava-ov-7b,base,BA,A,A,A,,valid,valid,False,False,,,
tsh:21,llava-ov-7b,base,AB,"The actions are: displaying welding equipment, cleaning a welded area. The first action is displaying welding equipment.",,,,unparseable,unparseable,,False,official parser returned None,,
