sample_id,model,method,ground_truth,raw_model_output,local_prediction,official_prediction,diagnostic_prediction,parse_status,original_parser_status,correct_status,parser_difference,original_parser_error,failure_stage,runtime_error
tsh:1,llava-ov-7b,dino_heal,BA,Action A. cleaning the sinks happens before Action B. placing a bottle with blue liquid.,AB,AB,AB,valid,valid,False,False,,,
tsh:2,llava-ov-7b,dino_heal,AB,"The actions occur in the following order: A. powdering hands, B. holding the barbell.",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:3,llava-ov-7b,dino_heal,AB,"A. fencing
B. playing table tennis",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:4,llava-ov-7b,dino_heal,BA,B,B,B,,valid,valid,False,False,,,
tsh:5,llava-ov-7b,dino_heal,AB,A,A,A,,valid,valid,False,False,,,
tsh:6,llava-ov-7b,dino_heal,BA,"B. cutting the pita bread into small slices
A. frying the bread",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:7,llava-ov-7b,dino_heal,BA,Action B. sailing on a yacht happens before Action A. drawing on a map.,BA,BA,BA,valid,valid,True,False,,,
tsh:8,llava-ov-7b,dino_heal,AB,"A. cutting a paper
B. presenting a gold bowl",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:9,llava-ov-7b,dino_heal,BA,"B. holding a gift
A. blowing sequins",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:10,llava-ov-7b,dino_heal,AB,"A. playing croquet
B. playing with a cat",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:11,llava-ov-7b,dino_heal,AB,"A. playing croquet
B. playing with a cat",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:12,llava-ov-7b,dino_heal,AB,"A. applying paint to a sponge
B. applying glitter nail polish",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:13,llava-ov-7b,dino_heal,AB,A,A,A,,valid,valid,False,False,,,
tsh:14,llava-ov-7b,dino_heal,BA,"B. flying a helicopter over a river
A. rafting into a tunnel",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:15,llava-ov-7b,dino_heal,BA,"B. cutting dough into rounds
A. cooking meat",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:16,llava-ov-7b,dino_heal,AB,"A. eating together
B. practicing martial arts",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:17,llava-ov-7b,dino_heal,BA,B. dancing,,,,unparseable,unparseable,,False,official parser returned None,,
tsh:18,llava-ov-7b,dino_heal,AB,A,A,A,,valid,valid,False,False,,,
tsh:19,llava-ov-7b,dino_heal,AB,A,A,A,,valid,valid,False,False,,,
tsh:20,llava-ov-7b,dino_heal,BA,A,A,A,,valid,valid,False,False,,,
tsh:21,llava-ov-7b,dino_heal,AB,Action A happens before Action B.,AB,AB,AB,valid,valid,True,False,,,
tsh:22,llava-ov-7b,dino_heal,BA,"B. playing polo
A. an award ceremony",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:23,llava-ov-7b,dino_heal,BA,Action B. cleaning the seats of a car happens before Action A. carpet cleaning.,BA,BA,BA,valid,valid,True,False,,,
tsh:24,llava-ov-7b,dino_heal,AB,Action A. putting on labels happens before Action B. ironing a label on a fabric.,AB,AB,AB,valid,valid,True,False,,,
tsh:25,llava-ov-7b,dino_heal,BA,"B. mixing ingredients in a bowl
A. making a sandwich",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:26,llava-ov-7b,dino_heal,AB,Action B. throwing a bowling ball happens before Action A. talking to the camera.,BA.,BA.,BA,valid,valid,False,False,,,
tsh:27,llava-ov-7b,dino_heal,BA,Action B happens before Action A.,BA,BA,BA,valid,valid,True,False,,,
tsh:28,llava-ov-7b,dino_heal,AB,Action A. displaying a sand dunes happens before Action B. leading and riding camels.,AB,AB,AB,valid,valid,True,False,,,
tsh:29,llava-ov-7b,dino_heal,AB,"The actions occur in the following order: A. washing a car, B. showing the inside of a car.",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:30,llava-ov-7b,dino_heal,BA,B. jumping into the water,,,,unparseable,unparseable,,False,official parser returned None,,
tsh:31,llava-ov-7b,dino_heal,AB,Action A happens before Action B.,AB,AB,AB,valid,valid,True,False,,,
