sample_id,model,method,ground_truth,raw_model_output,local_prediction,official_prediction,diagnostic_prediction,parse_status,original_parser_status,correct_status,parser_difference,original_parser_error,failure_stage,runtime_error
tsh:1,qwen2.5-vl-7b,tcd,BA,Action A. cleaning the sinks happens before Action B. placing a bottle with blue liquid.,AB,AB,AB,valid,valid,False,False,,,
tsh:2,qwen2.5-vl-7b,tcd,AB,Action A. powdering hands happens before Action B. holding the barbell.,AB,AB,AB,valid,valid,True,False,,,
tsh:3,qwen2.5-vl-7b,tcd,AB,"The actions in the video occur in the following order:

1. Action A: fencing
2. Action B: playing table tennis",AB,AB,AB,valid,valid,True,False,,,
tsh:4,qwen2.5-vl-7b,tcd,BA,"The actions in the video are:

1. Action B. washing dishes
2. Action A. placing clean dishes on the dish rack",BA,BA,BA,valid,valid,True,False,,,
tsh:5,qwen2.5-vl-7b,tcd,AB,"The actions in the video occur in the following order:

1. Action A: skateboarding on the road
2. Action B: windsurfing",AB,AB,AB,valid,valid,True,False,,,
tsh:6,qwen2.5-vl-7b,tcd,BA,"The actions in the video occur in the following order:

1. Action B. cutting the pita bread into small slices
2. Action A. frying the bread",BA,BA,BA,valid,valid,True,False,,,
tsh:7,qwen2.5-vl-7b,tcd,BA,"The actions in the video occur in the following order:

1. Action B. sailing on a yacht
2. Action A. drawing on a map",BA,BA,BA,valid,valid,True,False,,,
tsh:8,qwen2.5-vl-7b,tcd,AB,"Action A. cutting a paper
Action B. presenting a gold bowl",AB,AB,AB,valid,valid,True,False,,,
tsh:9,qwen2.5-vl-7b,tcd,BA,"The actions in the video occur in the following order:

1. Action B. holding a gift
2. Action A. blowing sequins",BA,BA,BA,valid,valid,True,False,,,
tsh:10,qwen2.5-vl-7b,tcd,AB,"The actions in the video occur in the following order:

1. Action A: playing croquet
2. Action B: playing with a cat",AB,AB,AB,valid,valid,True,False,,,
tsh:11,qwen2.5-vl-7b,tcd,AB,"The actions in the video occur in the following order:

1. Action A: playing croquet
2. Action B: playing with a cat",AB,AB,AB,valid,valid,True,False,,,
tsh:12,qwen2.5-vl-7b,tcd,AB,"The actions in the video occur in the following order:

1. Action A. applying paint to a sponge
2. Action B. applying glitter nail polish",AB,AB,AB,valid,valid,True,False,,,
tsh:13,qwen2.5-vl-7b,tcd,AB,"The two actions in the video are:

1. Action A. drawing on tape and cutting it out
2. Action B. applying a top coat

The order of these actions is:
- First, the person draws on the tape and cuts out half of a heart.
- Then, the person removes the tape and applies a top coat.",AB,AB,AB,valid,valid,True,False,,,
tsh:14,qwen2.5-vl-7b,tcd,BA,"The actions in the video occur in the following order:

1. Action B. flying a helicopter over a river
2. Action A. rafting into a tunnel",BA,BA,BA,valid,valid,True,False,,,
tsh:15,qwen2.5-vl-7b,tcd,BA,Action A. cooking meat happens before Action B. cutting dough into rounds,AB,AB,AB,valid,valid,False,False,,,
tsh:16,qwen2.5-vl-7b,tcd,AB,"The actions in the video occur in the following order:

1. Action A: eating together
2. Action B: practicing martial arts",AB,AB,AB,valid,valid,True,False,,,
tsh:17,qwen2.5-vl-7b,tcd,BA,"The actions in the video occur in the following order:

1. B. dancing
2. A. playing music

The video starts with a family dancing on a brick walkway near the ocean. Later, the scene transitions to a band playing music on a stage.",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:18,qwen2.5-vl-7b,tcd,AB,Action A. stirring cabbage with oil happens before Action B. boiling the broccoli.,AB,AB,AB,valid,valid,True,False,,,
tsh:19,qwen2.5-vl-7b,tcd,AB,"The actions in the video occur in the following order:

1. Action A: mixing various spices and olive oil
2. Action B: cooking sausages on a grill pan",AB,AB,AB,valid,valid,True,False,,,
tsh:20,qwen2.5-vl-7b,tcd,BA,"The actions in the video occur in the following order:

1. B. walking down the road
2. A. carving pumpkins",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:21,qwen2.5-vl-7b,tcd,AB,"The actions in the video occur in the following order:

1. Action A: displaying welding equipment
2. Action B: cleaning a welded area",AB,AB,AB,valid,valid,True,False,,,
tsh:22,qwen2.5-vl-7b,tcd,BA,"The video starts with a scene of people walking, which suggests they are arriving at an event. This is followed by a scene where a group of people are holding up a trophy, which is typically associated with an award ceremony. Therefore, the order of the actions is:

Action B. playing polo (implied by the setting and attire of the people)
Action A. an award ceremony (implied by the trophy being held up)",BA,BA,BA,valid,valid,True,False,,,
tsh:23,qwen2.5-vl-7b,tcd,BA,"The actions in the video occur in the following order:

1. B. cleaning the seats of a car
2. A. carpet cleaning",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:24,qwen2.5-vl-7b,tcd,AB,"The actions in the video occur in the following order:

1. Action A: putting on labels
2. Action B: ironing a label on a fabric",AB,AB,AB,valid,valid,True,False,,,
tsh:25,qwen2.5-vl-7b,tcd,BA,"The actions in the video occur in the following order:

1. Action A: making a sandwich
2. Action B: mixing ingredients in a bowl",AB,AB,AB,valid,valid,False,False,,,
