sample_id,model,method,ground_truth,raw_model_output,local_prediction,official_prediction,diagnostic_prediction,parse_status,original_parser_status,correct_status,parser_difference,original_parser_error,failure_stage,runtime_error
tsh:1,llava-ov-7b,season,BA,Action A. cleaning the sinks happens before Action B. placing a bottle with blue liquid.,AB,AB,AB,valid,valid,False,False,,,
tsh:2,llava-ov-7b,season,AB,A,A,A,,valid,valid,False,False,,,
tsh:3,llava-ov-7b,season,AB,"A. fencing
B. playing table tennis",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:4,llava-ov-7b,season,BA,B. washing dishes happens before A. placing clean dishes on the dish rack.,,,,unparseable,unparseable,,False,official parser returned None,,
tsh:5,llava-ov-7b,season,AB,"A. skateboarding on the road
B. windsurfing",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:6,llava-ov-7b,season,BA,"B. cutting the pita bread into small slices
A. frying the bread",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:7,llava-ov-7b,season,BA,Action B. sailing on a yacht happens before Action A. drawing on a map.,BA,BA,BA,valid,valid,True,False,,,
tsh:8,llava-ov-7b,season,AB,"A. cutting a paper
B. presenting a gold bowl",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:9,llava-ov-7b,season,BA,"B. holding a gift
A. blowing sequins",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:10,llava-ov-7b,season,AB,"A. playing croquet
B. playing with a cat",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:11,llava-ov-7b,season,AB,"A. playing croquet
B. playing with a cat",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:12,llava-ov-7b,season,AB,"A. applying red, pink, and white paint to sponge
B. use makeup sponge for the gradient
B. if you dont want to add a gradient you can add any nail polish color
B. apply gold glitter nail polish
B. just remove the tape while the polish is still wet",,,,unparseable,unparseable,,False,official parser returned None,,
tsh:13,llava-ov-7b,season,AB,"A. Fold a piece of tape in half and cut out half of a heart ( you can also draw on the tape for a guide)
B. Remove the tape and add a top coat
B. Apply black polish around the hearts",,,,unparseable,unparseable,,False,official parser returned None,,
